"##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc"								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
T cell activation	PANTHER	P00053	16	78	1.06E-09	9.48E-09	NFATC4|GRAP2|PIK3CA|JUN|PIK3R3|AKT1|AKT3|PTPRC|PIK3R2|PIK3R1|NFKB1|LCP2|MAPK8|CD247|MAPK1|ZAP70	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00053
DAP12 signaling	Reactome	R-HSA-2424491	11	27	1.12E-09	9.95E-09	KLRD1|TYROBP|PIK3CA|FYN|PLCG2|GRAP2|PIK3R2|PIK3R1|TREM2|LCP2|BTK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2424491
Vesicle-mediated transport	Reactome	R-HSA-5653656	47	669	1.23E-09	1.09E-08	SCFD1|IL7R|TUBA8|AVPR2|CD55|COPS2|CHMP4B|CD59|AKT1|AKT3|CLTA|ARRB1|SPTBN4|TSC2|HIP1R|RAB8B|GPS1|GJB1|SH3GL1|TUBA1A|GJB2|CTTN|ANK2|GJB6|CSNK1D|PAFAH1B3|VTA1|SNX9|CHMP4C|TMF1|KIF18A|VPS4B|CYTH1|CYTH3|PAFAH1B1|GALNT2|GJA1|GJA5|SH3D19|DLC1|TRAPPC3|MON1A|SFN|TRAPPC6A|ADRB2|MPP1|RALA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5653656
M Phase	Reactome	R-HSA-68886	34	384	1.25E-09	1.10E-08	RPN2|TUBA8|PSMD9|PSMD4|PLK4|ITGB3BP|PRKAR2B|NDE1|MAD1L1|PSMA1|TUBA1A|CSNK1D|MAPK1|GORASP2|CDCA5|PSMC1|DLC1|PSMC5|PSMC6|VRK1|KIF18A|PPP2R2A|PPP2R5D|TPR|PAFAH1B1|CCNB2|PPP2CA|PSMC4|H2AFX|PSMD13|CEP72|NCAPG|MAD2L1|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68886
RNA Polymerase I Transcription Initiation	Reactome	R-HSA-73762	13	46	1.42E-09	1.24E-08	HDAC1|CHD4|TBP|ERCC2|RBBP7|KAT2B|GTF2H5|GTF2H4|CDK7|MNAT1|RBBP4|CCNH|GTF2H1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73762
Fc epsilon RI signaling pathway	KEGG PATHWAY	hsa04664	15	68	1.48E-09	1.29E-08	BTK|AKT1|FYN|GAB2|PLCG2|AKT3|PIK3R3|PIK3R2|PIK3R1|PIK3CA|LCP2|MAPK8|MS4A2|MAPK1|MAPK11	http://www.genome.jp/kegg-bin/show_pathway?hsa04664/hsa:5336%09red/hsa:5594%09red/hsa:8503%09red/hsa:10000%09red/hsa:695%09red/hsa:5290%09red/hsa:5600%09red/hsa:2534%09red/hsa:5295%09red/hsa:5296%09red/hsa:3937%09red/hsa:5599%09red/hsa:9846%09red/hsa:2206%09red/hsa:207%09red
Small cell lung cancer	KEGG PATHWAY	hsa05222	17	93	1.51E-09	1.31E-08	PTGS2|E2F3|TRAF6|E2F1|PIK3CA|BIRC2|RXRA|TEP1|AKT1|AKT3|PIK3R3|PIK3R2|PIK3R1|NFKB1|TP53|MYC|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa05222/hsa:5728%09red/hsa:8517%09red/hsa:8503%09red/hsa:10000%09red/hsa:329%09red/hsa:5290%09red/hsa:5743%09red/hsa:5295%09red/hsa:5296%09red/hsa:6256%09red/hsa:4790%09red/hsa:1871%09red/hsa:7189%09red/hsa:7157%09red/hsa:4609%09red/hsa:1869%09red/hsa:207%09red
G1/S-Specific Transcription	Reactome	R-HSA-69205	11	28	1.53E-09	1.32E-08	HDAC1|E2F6|POLA1|E2F4|E2F1|CCNA1|LIN37|CDT1|RBBP4|TK1|CDC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69205
Activation of HOX genes during differentiation	Reactome	R-HSA-5619507	19	121	1.60E-09	1.37E-08	HDAC3|NCOR1|YY1|HOXD4|H2AFX|RBBP7|RXRA|RBBP4|PIAS2|HOXB2|JUN|CREBBP|HOXA1|HOXB3|EED|MAFB|EZH2|CTCF|PBX1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5619507
Activation of anterior HOX genes in hindbrain development during early embryogenesis	Reactome	R-HSA-5617472	19	121	1.60E-09	1.37E-08	HDAC3|NCOR1|YY1|HOXD4|H2AFX|RBBP7|RXRA|RBBP4|PIAS2|HOXB2|JUN|CREBBP|HOXA1|HOXB3|EED|MAFB|EZH2|CTCF|PBX1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5617472
FCERI mediated NF-kB activation	Reactome	R-HSA-2871837	16	81	1.71E-09	1.46E-08	RASGRP2|RPN2|PSMD9|RASGRP4|TRAF6|PSMD4|CARD11|PSMD13|PSMC5|PSMA1|IKBKG|NFKB1|PSMC1|PSMC4|MS4A2|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2871837
Circadian Clock	Reactome	R-HSA-400253	15	69	1.76E-09	1.49E-08	HDAC3|NCOA1|PPP1CA|SMS|CRY1|RORA|NPAS2|PER2|CSNK1D|CRY2|RXRA|SIRT1|PPARGC1A|NCOR1|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-400253
"Interleukin-3, Interleukin-5 and GM-CSF signaling"	Reactome	R-HSA-512988	13	47	1.77E-09	1.49E-08	IL2RA|IL2RB|SHC1|FYN|GAB2|STAT5B|STAT5A|PIK3R3|PIK3R2|PIK3R1|PIK3CA|CRK|PTPN6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-512988
Insulin signaling pathway	KEGG PATHWAY	hsa04910	20	137	1.86E-09	1.56E-08	SHC1|SOCS2|MKNK2|PIK3CA|INPP5K|PPARGC1A|IRS2|PDE3B|PPP1CA|AKT1|FOXO1|AKT3|PIK3R3|PIK3R2|PIK3R1|CRK|PRKAR2B|MAPK1|MAPK8|TSC2	http://www.genome.jp/kegg-bin/show_pathway?hsa04910/hsa:51763%09red/hsa:5140%09red/hsa:8660%09red/hsa:10000%09red/hsa:5290%09red/hsa:1398%09red/hsa:8835%09red/hsa:7249%09red/hsa:5295%09red/hsa:5296%09red/hsa:8503%09red/hsa:5499%09red/hsa:5599%09red/hsa:5577%09red/hsa:2872%09red/hsa:10891%09red/hsa:6464%09red/hsa:5594%09red/hsa:207%09red/hsa:2308%09red
@@VEGF signaling pathway	KEGG PATHWAY	hsa04370	14	59	2.31E-09	1.91E-08	SPHK2|PTGS2|PIK3CA|HSPB1|SRC|PIK3R3|PLCG2|SH2D2A|AKT3|AKT1|PIK3R2|PIK3R1|MAPK1|MAPK11	http://www.genome.jp/kegg-bin/show_pathway?hsa04370/hsa:5336%09red/hsa:5594%09red/hsa:8503%09red/hsa:10000%09red/hsa:56848%09red/hsa:5743%09red/hsa:3315%09red/hsa:5295%09red/hsa:5296%09red/hsa:5290%09red/hsa:5600%09red/hsa:6714%09red/hsa:207%09red/hsa:9047%09red
Regulation of PTEN gene transcription	Reactome	R-HSA-8943724	14	59	2.31E-09	1.91E-08	HDAC1|HDAC3|TP53|CHD4|JUN|RBBP7|RBBP4|PPARG|EZH2|PHC1|HDAC5|PHC2|EED|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8943724
VEGFA-VEGFR2 Pathway	Reactome	R-HSA-4420097	17	97	2.66E-09	2.20E-08	NCF1|THEM4|WASF3|PIK3CA|HSPB1|FYN|AKT1|SH2D2A|AKT3|MAPK11|PIK3R2|PIK3R1|CRK|BAIAP2|CDH5|AXL|CAV1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4420097
Global Genome Nucleotide Excision Repair (GG-NER)	Reactome	R-HSA-5696399	16	84	2.72E-09	2.23E-08	UBE2I|GPS1|YY1|COPS2|INO80B|XPA|ERCC4|GTF2H5|GTF2H4|GTF2H1|PIAS1|CDK7|RUVBL1|MNAT1|CCNH|ERCC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696399
Nucleotide Excision Repair	Reactome	R-HSA-5696398	18	111	2.73E-09	2.23E-08	UBE2I|GPS1|YY1|HMGN1|COPS2|INO80B|XPA|ERCC4|GTF2H5|GTF2H4|GTF2H1|PIAS1|CDK7|RUVBL1|MNAT1|TCEA1|CCNH|ERCC2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696398
Interleukin-17 signaling	Reactome	R-HSA-448424	15	72	2.92E-09	2.38E-08	MAP3K8|TRAF6|PPP2CA|DUSP7|JUN|RPS6KA2|RIPK2|IKBKG|NFKB1|PPP2R5D|MAPK1|MAPK8|IL17RB|DUSP3|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-448424
Antigen processing-Cross presentation	Reactome	R-HSA-1236975	17	98	3.05E-09	2.47E-08	MRC1|NCF1|PSMD9|BTK|PSMA1|RPN2|PSMD13|CD14|TLR1|IKBKG|TLR4|PSMD4|PSMC1|MYD88|PSMC4|PSMC5|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236975
Toll Like Receptor 10 (TLR10) Cascade	Reactome	R-HSA-168142	16	85	3.16E-09	2.52E-08	MAP3K8|TRAF6|PPP2CA|HMGB1|JUN|RPS6KA2|RIPK2|IKBKG|NFKB1|PPP2R5D|MAPK1|MAPK8|MYD88|DUSP7|DUSP3|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168142
Toll Like Receptor 5 (TLR5) Cascade	Reactome	R-HSA-168176	16	85	3.16E-09	2.52E-08	MAP3K8|TRAF6|PPP2CA|HMGB1|JUN|RPS6KA2|RIPK2|IKBKG|NFKB1|PPP2R5D|MAPK1|MAPK8|MYD88|DUSP7|DUSP3|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168176
MyD88 cascade initiated on plasma membrane	Reactome	R-HSA-975871	16	85	3.16E-09	2.52E-08	MAP3K8|TRAF6|PPP2CA|HMGB1|JUN|RPS6KA2|RIPK2|IKBKG|NFKB1|PPP2R5D|MAPK1|MAPK8|MYD88|DUSP7|DUSP3|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975871
Toll receptor signaling pathway	PANTHER	P00054	13	50	3.35E-09	2.66E-08	PTGS2|MAP3K8|TLR9|TRAF6|JUN|TNFAIP3|TLR3|CD14|TLR4|IRAK3|TLR8|MYD88|MAPK8	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00054
Relaxin signaling pathway	KEGG PATHWAY	hsa04926	19	130	4.63E-09	3.66E-08	SRC|SHC1|ADCY3|NFKB1|ADCY8|CREB5|JUN|GNG11|AKT1|PIK3CA|AKT3|PIK3R3|PIK3R2|PIK3R1|ARRB1|MAPK1|MAPK8|TGFBR2|MAPK11	http://www.genome.jp/kegg-bin/show_pathway?hsa04926/hsa:5600%09red/hsa:9586%09red/hsa:5594%09red/hsa:8503%09red/hsa:408%09red/hsa:10000%09red/hsa:5290%09red/hsa:2791%09red/hsa:3725%09red/hsa:5295%09red/hsa:5296%09red/hsa:4790%09red/hsa:5599%09red/hsa:114%09red/hsa:6714%09red/hsa:109%09red/hsa:6464%09red/hsa:207%09red/hsa:7048%09red
Human immunodeficiency virus 1 infection	KEGG PATHWAY	hsa05170	24	212	4.69E-09	3.70E-08	NFATC4|AKT1|AKT3|IKBKG|CRK|FAS|JUN|GNG11|MAPK1|PIK3R3|PIK3R2|PIK3R1|NFKB1|MAPK8|MYD88|CHEK1|TRAF6|CDC25C|CCNB2|PLCG2|CD247|TLR4|PIK3CA|MAPK11	http://www.genome.jp/kegg-bin/show_pathway?hsa05170/hsa:8503%09red/hsa:10000%09red/hsa:2791%09red/hsa:3725%09red/hsa:5594%09red/hsa:355%09red/hsa:1111%09red/hsa:7099%09red/hsa:4776%09red/hsa:7189%09red/hsa:5599%09red/hsa:9133%09red/hsa:5600%09red/hsa:5336%09red/hsa:8517%09red/hsa:4615%09red/hsa:995%09red/hsa:5290%09red/hsa:5295%09red/hsa:5296%09red/hsa:4790%09red/hsa:207%09red/hsa:919%09red/hsa:1398%09red
Glioma	KEGG PATHWAY	hsa05214	15	75	4.75E-09	3.73E-08	IGF1R|E2F3|SHC1|E2F1|AKT1|PIK3CA|CAMK2B|TEP1|PLCG2|AKT3|PIK3R3|PIK3R2|PIK3R1|TP53|MAPK1	http://www.genome.jp/kegg-bin/show_pathway?hsa05214/hsa:5336%09red/hsa:5594%09red/hsa:8503%09red/hsa:10000%09red/hsa:5290%09red/hsa:816%09red/hsa:3480%09red/hsa:5295%09red/hsa:5296%09red/hsa:5728%09red/hsa:1871%09red/hsa:7157%09red/hsa:1869%09red/hsa:207%09red/hsa:6464%09red
PI3K/AKT Signaling in Cancer	Reactome	R-HSA-2219528	16	88	4.89E-09	3.82E-08	SRC|TEP1|PIK3CA|NR4A1|FYN|IRS2|KIT|AKT1|FOXO1|AKT3|PIK3R3|PIK3R2|PIK3R1|FOXO4|TSC2|CD19	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2219528
MAP kinase activation	Reactome	R-HSA-450294	14	64	5.71E-09	4.44E-08	MAP3K8|TRAF6|PPP2CA|JUN|RPS6KA2|RIPK2|IKBKG|NFKB1|PPP2R5D|MAPK1|MAPK8|DUSP7|DUSP3|MAPK11	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450294
Costimulation by the CD28 family	Reactome	R-HSA-388841	14	65	6.78E-09	5.23E-08	MAP3K8|THEM4|GRAP2|PPP2CA|PIK3CA|FYN|AKT1|AKT3|PIK3R3|PIK3R2|PIK3R1|PPP2R5D|PTPN6|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-388841
TP53 Regulates Transcription of DNA Repair Genes	Reactome	R-HSA-6796648	14	65	6.78E-09	5.23E-08	BRCA1|TP53|TCEB3|ERCC2|JUN|GTF2H5|GTF2H4|CDK7|CDK9|MNAT1|TCEA1|CCNH|GTF2H1|CHEK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6796648
DNA Double-Strand Break Repair	Reactome	R-HSA-5693532	21	166	7.37E-09	5.66E-08	UBE2I|BRCA1|CCNA2|CCNA1|TOPBP1|TIPIN|TIMELESS|ERCC4|CLSPN|H2AFX|PPP4R2|RNF4|PPP4C|TP53|BRIP1|BRE|XRCC6|CHEK2|MAPK8|UIMC1|CHEK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693532
Cyclin A/B1/B2 associated events during G2/M transition	Reactome	R-HSA-69273	10	25	7.44E-09	5.68E-08	LCMT1|CCNB2|CCNA2|CCNA1|PPP2CA|PPP2R2A|CDC25C|CDK7|MNAT1|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69273
G1/S DNA Damage Checkpoints	Reactome	R-HSA-69615	14	66	8.04E-09	6.12E-08	RPN2|CCNA2|TP53|CCNA1|PSMD4|PSMD9|PSMD13|CHEK2|PSMA1|PSMC1|PSMC4|PSMC5|PSMC6|CHEK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69615
Organelle biogenesis and maintenance	Reactome	R-HSA-1852241	28	294	8.41E-09	6.37E-08	HDAC3|TUBA8|IFT20|HDAC6|HSPA9|PLK4|ARL6|PRKAR2B|MAPK11|NDE1|NCOR1|NCOA1|HCFC1|TUBA1A|PPARGC1A|PPARGC1B|CCT5|CSNK1D|DLC1|ESRRA|IFT57|RXRA|FBF1|PAFAH1B1|PKD2|KIF17|CEP72|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1852241
Th1 and Th2 cell differentiation	KEGG PATHWAY	hsa04658	16	92	8.57E-09	6.47E-08	IL2RA|IL2RB|IL4R|STAT6|JUN|RUNX3|STAT5A|CD247|MAPK11|IKBKG|NFKB1|MAPK1|MAPK8|TYK2|ZAP70|STAT5B	http://www.genome.jp/kegg-bin/show_pathway?hsa04658/hsa:6776%09red/hsa:6777%09red/hsa:919%09red/hsa:8517%09red/hsa:7535%09red/hsa:3560%09red/hsa:7297%09red/hsa:3725%09red/hsa:3566%09red/hsa:864%09red/hsa:4790%09red/hsa:3559%09red/hsa:5594%09red/hsa:5599%09red/hsa:6778%09red/hsa:5600%09red
Signaling by VEGF	Reactome	R-HSA-194138	17	106	8.70E-09	6.53E-08	NCF1|THEM4|WASF3|PIK3CA|HSPB1|FYN|AKT1|SH2D2A|AKT3|MAPK11|PIK3R2|PIK3R1|CRK|BAIAP2|CDH5|AXL|CAV1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194138
Regulation of lipolysis in adipocytes	KEGG PATHWAY	hsa04923	13	55	8.96E-09	6.70E-08	PTGS2|ADCY3|PIK3CA|ADCY8|IRS2|PDE3B|AKT1|ADRB2|AKT3|PIK3R3|PIK3R2|PIK3R1|NPPA	http://www.genome.jp/kegg-bin/show_pathway?hsa04923/hsa:5140%09red/hsa:8660%09red/hsa:10000%09red/hsa:5290%09red/hsa:5743%09red/hsa:154%09red/hsa:8503%09red/hsa:5295%09red/hsa:5296%09red/hsa:4878%09red/hsa:114%09red/hsa:109%09red/hsa:207%09red
Separation of Sister Chromatids	Reactome	R-HSA-2467813	22	186	9.92E-09	7.39E-08	RPN2|TUBA8|PSMD9|PSMD4|ITGB3BP|MAD2L1|NDE1|MAD1L1|TUBA1A|PSMA1|CDCA5|PSMC1|DLC1|PSMC5|PSMC6|KIF18A|PAFAH1B1|PPP2CA|PSMC4|PSMD13|PPP2R5D|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2467813
Interleukin-4 and Interleukin-13 signaling	Reactome	R-HSA-6785807	17	108	1.11E-08	8.23E-08	STAT6|ICAM1|TP53|IL4R|CEBPD|MUC1|TYK2|MAOA|RORA|AKT1|FOXO1|PTGS2|MCL1|PIK3R1|IL1B|BCL6|MYC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6785807
Regulation of PTEN stability and activity	Reactome	R-HSA-8948751	14	68	1.12E-08	8.23E-08	RPN2|TEP1|PSMA1|PSMD9|TRIM27|NEDD4|PSMD13|AKT1|AKT3|PSMD4|PSMC1|PSMC4|PSMC5|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8948751
Hippo signaling pathway	KEGG PATHWAY	hsa04390	20	154	1.12E-08	8.23E-08	TCF4|TGFB2|WNT4|PPP1CA|PPP2CA|FZD9|PPP2R2A|CTGF|PARD6A|BIRC2|RASSF1|CSNK1D|DVL1|TP73|TP53BP2|MYC|ID1|WNT7A|TGFBR2|WNT2	http://www.genome.jp/kegg-bin/show_pathway?hsa04390/hsa:7159%09red/hsa:7476%09red/hsa:5520%09red/hsa:7042%09red/hsa:7472%09red/hsa:329%09red/hsa:5515%09red/hsa:7161%09red/hsa:8326%09red/hsa:50855%09red/hsa:1453%09red/hsa:1855%09red/hsa:3397%09red/hsa:5499%09red/hsa:4609%09red/hsa:54361%09red/hsa:6934%09red/hsa:11186%09red/hsa:1490%09red/hsa:7048%09red
Fc gamma R-mediated phagocytosis	KEGG PATHWAY	hsa04666	16	94	1.12E-08	8.23E-08	SPHK2|NCF1|WASF3|PIP5K1B|PRKCE|GAB2|PIK3R3|PLCG2|AKT3|AKT1|PIK3R2|PIK3R1|PIK3CA|CRK|MAPK1|PTPRC	http://www.genome.jp/kegg-bin/show_pathway?hsa04666/hsa:5336%09red/hsa:5594%09red/hsa:8503%09red/hsa:5581%09red/hsa:10000%09red/hsa:56848%09red/hsa:1398%09red/hsa:5295%09red/hsa:5296%09red/hsa:5290%09red/hsa:8395%09red/hsa:5788%09red/hsa:9846%09red/hsa:653361%09red/hsa:207%09red/hsa:10810%09red
Cushing syndrome	KEGG PATHWAY	hsa04934	20	155	1.24E-08	9.02E-08	CDKN2C|WNT4|E2F3|E2F1|ADCY3|SP1|CREB5|NR4A1|ADCY8|SCG2|RAP1A|CACNA1G|DVL1|CAMK2B|FZD9|MAPK1|TCF4|PBX1|WNT7A|WNT2	http://www.genome.jp/kegg-bin/show_pathway?hsa04934/hsa:7476%09red/hsa:9586%09red/hsa:5594%09red/hsa:7472%09red/hsa:1031%09red/hsa:5906%09red/hsa:816%09red/hsa:4221%09red/hsa:5087%09red/hsa:3164%09red/hsa:1871%09red/hsa:1855%09red/hsa:8913%09red/hsa:114%09red/hsa:109%09red/hsa:1869%09red/hsa:6667%09red/hsa:6934%09red/hsa:8326%09red/hsa:54361%09red
Platelet activation	KEGG PATHWAY	hsa04611	18	124	1.29E-08	9.36E-08	RASGRP2|SRC|BTK|ADCY3|ADCY8|PPP1CA|FYN|RAP1A|PIK3R3|PLCG2|AKT3|AKT1|PIK3R2|PIK3R1|PIK3CA|LCP2|MAPK1|MAPK11	http://www.genome.jp/kegg-bin/show_pathway?hsa04611/hsa:5336%09red/hsa:5594%09red/hsa:8503%09red/hsa:5906%09red/hsa:10000%09red/hsa:695%09red/hsa:5290%09red/hsa:5600%09red/hsa:2534%09red/hsa:5295%09red/hsa:5296%09red/hsa:6714%09red/hsa:5499%09red/hsa:3937%09red/hsa:114%09red/hsa:10235%09red/hsa:109%09red/hsa:207%09red
Regulation of TP53 Expression and Degradation	Reactome	R-HSA-6806003	11	36	1.33E-08	9.60E-08	DAXX|CCNA2|CCNA1|PPP2CA|RFFL|AKT1|AKT3|PRDM1|TP53|CHEK2|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6806003
G0 and Early G1	Reactome	R-HSA-1538133	10	27	1.35E-08	9.73E-08	HDAC1|E2F4|CCNA2|E2F1|CCNA1|LIN37|RBBP4|MYC|CDC6|TOP2A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1538133
C-type lectin receptors (CLRs)	Reactome	R-HSA-5621481	19	140	1.37E-08	9.79E-08	CREBBP|RPN2|PSMD9|TRAF6|PSMD4|CARD11|FYN|CLEC4A|PSMC5|PSMD13|PLCG2|PSMA1|IKBKG|NFKB1|PSMC1|IL1B|PSMC4|MUC1|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5621481
ER-Phagosome pathway	Reactome	R-HSA-1236974	15	82	1.37E-08	9.79E-08	BTK|RPN2|PSMD9|PSMA1|PSMD13|CD14|TLR1|IKBKG|TLR4|PSMD4|PSMC1|MYD88|PSMC4|PSMC5|PSMC6	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236974
Metabolism	Reactome	R-HSA-1430728	96	2075	1.48E-08	1.05E-07	PTGS2|RPN2|SLC6A8|NQO2|AKT1|CAV1|PIK3CA|GNG11|RORA|RARS|PIP4K2A|PIP4K2C|IARS|TEP1|EXT1|SP1|TPR|SHMT2|AKAP5|ADCY3|PPP2CA|ACSL3|INPP5K|ADCY8|FA2H|PARP10|PSMC5|BST1|HYAL2|NME3|VDR|UROS|THEM4|PPARGC1A|PPARGC1B|ITPKA|PAICS|PIK3R3|PIK3R2|PIK3R1|NR1H2|PPARG|TK1|GARS|UBE2I|G6PD|PSMD13|MAOA|CRLS1|EEF1E1|CREBBP|AASDHPPT|HDAC3|RAP1A|PRKAR2B|BRIP1|NCOR1|NCOA1|ADIPOR1|FHL2|PSMA1|MECR|NDUFA7|PODXL2|RXRA|NFYB|DLST|AK1|PGLS|PRKD1|GLS2|SPHK2|PSMD9|PSMD4|ERCC2|PCBD1|AIMP2|AGRN|PLCG2|CAD|CPNE7|NPAS2|IMPDH2|PSMC1|EPRS|PSMC4|LDHA|PSMC6|SIN3A|ESRRA|PPP2R5D|SUCLG1|ALDOB|DHCR24|PPP1CA|PIP5K1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1430728
Signaling by Rho GTPases	Reactome	R-HSA-194315	35	449	1.49E-08	1.05E-07	MYH10|NCF1|TUBA8|NOXO1|SCG2|NOXA1|ITGB3BP|CTTN|MAPK11|NDE1|ARHGEF10L|ARAP1|WASF3|MAD1L1|TUBA1A|FMNL1|TIAM1|DVL1|PIK3R2|ARHGAP29|DLC1|ARHGEF15|CDC25C|KIF18A|BRCC3|PAFAH1B1|PPP2CA|H2AFX|SFN|MAPK1|PPP2R5D|BAIAP2|MAD2L1|BTK|PPP2R5C	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194315
Transcription regulation by bZIP transcription factor	PANTHER	P00055	12	47	1.60E-08	1.13E-07	GTF2E1|TAF2|TBP|CREB5|GTF2H4|GTF2B|PRKAR2B|GTF2A1|GTF2A2|BRF2|GTF2H1|CREBBP	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00055
Activation of ATR in response to replication stress	Reactome	R-HSA-176187	11	37	1.68E-08	1.18E-07	MCM10|CLSPN|CDC25C|MCM7|MCM6|MCM5|DBF4|MCM2|MCM3|CDC6|CHEK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176187
Processing of DNA double-strand break ends	Reactome	R-HSA-5693607	16	98	1.90E-08	1.33E-07	UBE2I|BRCA1|CCNA2|CCNA1|TOPBP1|TIPIN|TIMELESS|PPP4C|CLSPN|H2AFX|PPP4R2|BRIP1|BRE|RNF4|UIMC1|CHEK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5693607
Signaling by TGF-beta Receptor Complex	Reactome	R-HSA-170834	14	72	2.11E-08	1.47E-07	HDAC1|TGFBR2|E2F4|PPP1CA|SP1|SCG2|PARD6A|UBE2D3|NEDD4L|PMEPA1|CDK9|MYC|SKI|NCOR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-170834
Ovarian tumor domain proteases	Reactome	R-HSA-5689896	11	38	2.12E-08	1.47E-07	TP53|TRAF6|TEP1|TRIM25|TNFAIP3|VCP|TNIP1|IKBKG|ZRANB1|MAVS|RIPK2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689896
Class I MHC mediated antigen processing & presentation	Reactome	R-HSA-983169	31	370	2.17E-08	1.50E-07	TRIM11|NCF1|PSMD9|PSMD4|FBXO11|RPN2|UBE2D3|IKBKG|FBXO7|MRC1|ZBTB16|NEDD4|PSMA1|PSMC1|MYD88|PSMC4|PSMC5|PSMC6|CUL3|HUWE1|RBCK1|TLR4|THOP1|RBBP6|PSMD13|NEDD4L|CD14|TLR1|HECW2|RNF4|BTK	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983169
RUNX1 regulates transcription of genes involved in differentiation of HSCs	Reactome	R-HSA-8939236	18	129	2.23E-08	1.54E-07	RPN2|SPI1|PSMD9|TCF3|CCNH|CDK7|H2AFX|PSMD13|GATA2|CBFB|TP73|PSMD4|PSMC1|MNAT1|PSMC4|PSMC5|PSMC6|PSMA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939236
