"##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc"								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
ER to Golgi Anterograde Transport	Reactome	R-HSA-199977	3	154	0.03264002	0.074192777	TRAPPC6A|TRAPPC3|CD55	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-199977
Constitutive Signaling by Aberrant PI3K in Cancer	Reactome	R-HSA-2219530	2	62	0.032666394	0.074192777	PIK3CA|PIK3R3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2219530
Basal cell carcinoma	KEGG PATHWAY	hsa05217	2	63	0.033607521	0.075957503	TP53|BAX	http://www.genome.jp/kegg-bin/show_pathway?hsa05217/hsa:581%09red/hsa:7157%09red
p53-Dependent G1/S DNA damage checkpoint	Reactome	R-HSA-69580	2	64	0.034559175	0.075957503	PSMD4|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69580
p53-Dependent G1 DNA Damage Response	Reactome	R-HSA-69563	2	64	0.034559175	0.075957503	PSMD4|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69563
Angiogenesis	PANTHER	P00005	3	158	0.034774592	0.075957503	PIK3CA|ETS1|PIK3R3	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00005
Lectin pathway of complement activation	Reactome	R-HSA-166662	1	7	0.034776055	0.075957503	MBL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166662
Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	Reactome	R-HSA-2660826	1	7	0.034776055	0.075957503	ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2660826
RUNX3 regulates CDKN1A transcription	Reactome	R-HSA-8941855	1	7	0.034776055	0.075957503	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941855
"SUMO is transferred from E1 to E2 (UBE2I, UBC9)"	Reactome	R-HSA-3065678	1	7	0.034776055	0.075957503	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3065678
Regulation of gene expression in early pancreatic precursor cells	Reactome	R-HSA-210747	1	7	0.034776055	0.075957503	ONECUT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-210747
RUNX2 regulates genes involved in cell migration	Reactome	R-HSA-8941332	1	7	0.034776055	0.075957503	CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941332
Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	Reactome	R-HSA-2660825	1	7	0.034776055	0.075957503	ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2660825
IkBA variant leads to EDA-ID	Reactome	R-HSA-5603029	1	7	0.034776055	0.075957503	IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5603029
DEx/H-box helicases activate type I IFN and inflammatory cytokines production 	Reactome	R-HSA-3134963	1	7	0.034776055	0.075957503	IRF7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3134963
GDP-glucose biosynthesis II	BioCyc	PWY-5661-1	1	7	0.034776055	0.075957503	PGM1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-5661-1
glycogenolysis	BioCyc	PWY-5941	1	7	0.034776055	0.075957503	PGM1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-5941
Chromatin organization	Reactome	R-HSA-4839726	4	273	0.034863153	0.075957503	EHMT2|SMARCB1|KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4839726
Chromatin modifying enzymes	Reactome	R-HSA-3247509	4	273	0.034863153	0.075957503	EHMT2|SMARCB1|KAT2B|CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3247509
Regulation of TP53 Activity	Reactome	R-HSA-5633007	3	159	0.035319283	0.076697219	EHMT2|RBBP8|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5633007
Mitophagy - animal	KEGG PATHWAY	hsa04137	2	65	0.035521246	0.076697219	CITED2|TP53	http://www.genome.jp/kegg-bin/show_pathway?hsa04137/hsa:10370%09red/hsa:7157%09red
TP53 Regulates Transcription of DNA Repair Genes	Reactome	R-HSA-6796648	2	65	0.035521246	0.076697219	CCNH|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6796648
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	Reactome	R-HSA-1234176	2	65	0.035521246	0.076697219	PSMD4|HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1234176
Other interleukin signaling	Reactome	R-HSA-449836	4	275	0.035648863	0.076800571	PSMD4|TXLNA|IL16|PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449836
S Phase	Reactome	R-HSA-69242	3	160	0.03586838	0.077101005	PSMD4|CCNH|RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69242
Activation of NF-kappaB in B cells	Reactome	R-HSA-1169091	2	66	0.036493625	0.078096357	PSMD4|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1169091
G1/S DNA Damage Checkpoints	Reactome	R-HSA-69615	2	66	0.036493625	0.078096357	PSMD4|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69615
MAPK family signaling cascades	Reactome	R-HSA-5683057	4	278	0.036846582	0.078676848	PSMD4|FOXO1|ETV4|CDC14A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5683057
Assembly of the pre-replicative complex	Reactome	R-HSA-68867	2	67	0.037476204	0.079667956	PSMD4|E2F3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68867
Interferon alpha/beta signaling	Reactome	R-HSA-909733	2	67	0.037476204	0.079667956	IRF3|IRF7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-909733
COPII-mediated vesicle transport	Reactome	R-HSA-204005	2	68	0.038468874	0.081598074	TRAPPC6A|TRAPPC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-204005
RUNX1 regulates transcription of genes involved in differentiation of keratinocytes	Reactome	R-HSA-8939242	1	8	0.039037638	0.082260931	CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939242
Release of Hh-Np from the secreting cell	Reactome	R-HSA-5362798	1	8	0.039037638	0.082260931	ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5362798
Role of ABL in ROBO-SLIT signaling	Reactome	R-HSA-428890	1	8	0.039037638	0.082260931	CLASP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-428890
Integrin signalling pathway	PANTHER	P00034	3	166	0.039255098	0.082538558	PIK3CA|PIK3R3|MAP3K4	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00034
Adipocytokine signaling pathway	KEGG PATHWAY	hsa04920	2	69	0.039471528	0.082632787	TNF|IKBKG	http://www.genome.jp/kegg-bin/show_pathway?hsa04920/hsa:7124%09red/hsa:8517%09red
ISG15 antiviral mechanism	Reactome	R-HSA-1169408	2	69	0.039471528	0.082632787	IRF3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1169408
G2/M Checkpoints	Reactome	R-HSA-69481	3	167	0.039834836	0.083212466	PSMD4|RBBP8|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69481
Prolactin signaling pathway	KEGG PATHWAY	hsa04917	2	70	0.040484061	0.084203349	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04917/hsa:5290%09red/hsa:8503%09red
Regulation of RUNX2 expression and activity	Reactome	R-HSA-8939902	2	70	0.040484061	0.084203349	PSMD4|CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939902
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	Reactome	R-HSA-174184	2	71	0.041506366	0.0861436	PSMD4|MAD2L1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174184
Transport of Mature mRNA derived from an Intron-Containing Transcript	Reactome	R-HSA-159236	2	72	0.042538339	0.087377639	THOC1|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-159236
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	Reactome	R-HSA-179419	2	72	0.042538339	0.087377639	PSMD4|MAD2L1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-179419
Disorders of transmembrane transporters	Reactome	R-HSA-5619115	3	172	0.042798539	0.087377639	VCP|PSMD4|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5619115
Axonal growth inhibition (RHOA activation)	Reactome	R-HSA-193634	1	9	0.043280513	0.087377639	LINGO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193634
Activation of PUMA and translocation to mitochondria	Reactome	R-HSA-139915	1	9	0.043280513	0.087377639	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-139915
AKT phosphorylates targets in the nucleus	Reactome	R-HSA-198693	1	9	0.043280513	0.087377639	FOXO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-198693
Signaling by FGFR3 fusions in cancer	Reactome	R-HSA-8853334	1	9	0.043280513	0.087377639	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8853334
Regulation of PTEN mRNA translation	Reactome	R-HSA-8943723	1	9	0.043280513	0.087377639	PTEN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8943723
RUNX3 regulates p14-ARF	Reactome	R-HSA-8951936	1	9	0.043280513	0.087377639	CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8951936
Regulation of PTEN localization	Reactome	R-HSA-8948747	1	9	0.043280513	0.087377639	PTEN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8948747
PI3K events in ERBB4 signaling	Reactome	R-HSA-1250342	1	9	0.043280513	0.087377639	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1250342
PI5P Regulates TP53 Acetylation	Reactome	R-HSA-6811555	1	9	0.043280513	0.087377639	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6811555
PI3K/AKT activation	Reactome	R-HSA-198203	1	9	0.043280513	0.087377639	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-198203
Cytokine-cytokine receptor interaction	KEGG PATHWAY	hsa04060	4	294	0.043623278	0.087885391	CCL18|TNF|EDAR|IL16	http://www.genome.jp/kegg-bin/show_pathway?hsa04060/hsa:7124%09red/hsa:3603%09red/hsa:10913%09red/hsa:6362%09red
Inositol phosphate metabolism	KEGG PATHWAY	hsa00562	2	74	0.04463087	0.089354528	PIK3CA|PTEN	http://www.genome.jp/kegg-bin/show_pathway?hsa00562/hsa:5290%09red/hsa:5728%09red
@@Inositol phosphate metabolism	Reactome	R-HSA-1483249	1	50	0.202096374	0.242666844	PTEN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1483249
Bacterial invasion of epithelial cells	KEGG PATHWAY	hsa05100	2	74	0.04463087	0.089354528	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa05100/hsa:5290%09red/hsa:8503%09red
APC/C:Cdc20 mediated degradation of mitotic proteins	Reactome	R-HSA-176409	2	74	0.04463087	0.089354528	PSMD4|MAD2L1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176409
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Reactome	R-HSA-176814	2	75	0.045691223	0.091287652	PSMD4|MAD2L1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176814
Extra-nuclear estrogen signaling	Reactome	R-HSA-9009391	2	76	0.046760831	0.092605436	PIK3CA|PIK3R3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9009391
The role of GTSE1 in G2/M progression after G2 checkpoint	Reactome	R-HSA-8852276	2	76	0.046760831	0.092605436	PSMD4|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8852276
ABC transporter disorders	Reactome	R-HSA-5619084	2	76	0.046760831	0.092605436	VCP|PSMD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5619084
Vitamin D metabolism and pathway	PANTHER	P04396	1	10	0.047504761	0.092605436	DBP	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04396
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	Reactome	R-HSA-8877330	1	10	0.047504761	0.092605436	CBFB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8877330
HDR through MMEJ (alt-NHEJ)	Reactome	R-HSA-5685939	1	10	0.047504761	0.092605436	RBBP8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5685939
Initiation of Nuclear Envelope Reformation	Reactome	R-HSA-2995383	1	10	0.047504761	0.092605436	VRK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2995383
Processing and activation of SUMO	Reactome	R-HSA-3215018	1	10	0.047504761	0.092605436	UBE2I	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3215018
MyD88 deficiency (TLR2/4)	Reactome	R-HSA-5602498	1	10	0.047504761	0.092605436	CD14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5602498
Signaling by FGFR4 in disease	Reactome	R-HSA-5655291	1	10	0.047504761	0.092605436	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5655291
@@Signaling by FGFR4	Reactome	R-HSA-5654743	1	36	0.15105672	0.199544062	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654743
Nuclear Envelope Reassembly	Reactome	R-HSA-2995410	1	10	0.047504761	0.092605436	VRK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2995410
p75NTR regulates axonogenesis	Reactome	R-HSA-193697	1	10	0.047504761	0.092605436	LINGO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193697
Protein ubiquitination	Reactome	R-HSA-8852135	2	77	0.047839593	0.092695228	VCP|RNF40	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8852135
Signaling by MET	Reactome	R-HSA-6806834	2	77	0.047839593	0.092695228	PIK3CA|SH3GL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6806834
Antiviral mechanism by IFN-stimulated genes	Reactome	R-HSA-1169410	2	77	0.047839593	0.092695228	IRF3|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1169410
Asparagine N-linked glycosylation	Reactome	R-HSA-446203	4	304	0.048191329	0.093189256	VCP|TRAPPC6A|TRAPPC3|CD55	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446203
Axon guidance	KEGG PATHWAY	hsa04360	3	181	0.04840337	0.093411713	PIK3CA|NFATC4|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04360/hsa:5290%09red/hsa:4776%09red/hsa:8503%09red
@@Axon guidance	Reactome	R-HSA-422475	4	549	0.228793776	0.265455911	PSMD4|PIK3R3|CLASP2|PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-422475
Endothelin signaling pathway	PANTHER	P00019	2	78	0.048927408	0.094234188	PIK3CA|PIK3R3	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00019
Transcription-Coupled Nucleotide Excision Repair (TC-NER)	Reactome	R-HSA-6781827	2	79	0.050024177	0.095962713	COPS2|CCNH	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6781827
Regulation of APC/C activators between G1/S and early anaphase	Reactome	R-HSA-176408	2	79	0.050024177	0.095962713	PSMD4|MAD2L1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-176408
Transport to the Golgi and subsequent modification	Reactome	R-HSA-948021	3	185	0.051004343	0.097648474	TRAPPC6A|TRAPPC3|CD55	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-948021
DNA Damage/Telomere Stress Induced Senescence	Reactome	R-HSA-2559586	2	80	0.051129799	0.097694437	TP53|RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559586
IRAK4 deficiency (TLR2/4)	Reactome	R-HSA-5603041	1	11	0.051710465	0.098025941	CD14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5603041
Regulated proteolysis of p75NTR	Reactome	R-HSA-193692	1	11	0.051710465	0.098025941	ADAM17	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193692
CDC6 association with the ORC:origin complex	Reactome	R-HSA-68689	1	11	0.051710465	0.098025941	E2F3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68689
Regulation of localization of FOXO transcription factors	Reactome	R-HSA-9614399	1	11	0.051710465	0.098025941	FOXO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9614399
FCERI mediated NF-kB activation	Reactome	R-HSA-2871837	2	81	0.052244177	0.098649299	PSMD4|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2871837
Transport of Mature Transcript to Cytoplasm	Reactome	R-HSA-72202	2	81	0.052244177	0.098649299	THOC1|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-72202
TP53 Regulates Metabolic Genes	Reactome	R-HSA-5628897	2	82	0.053367213	0.100376222	PTEN|TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5628897
Downstream signaling events of B Cell Receptor (BCR)	Reactome	R-HSA-1168372	2	82	0.053367213	0.100376222	PSMD4|IKBKG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1168372
DNA Replication Pre-Initiation	Reactome	R-HSA-69002	2	84	0.055638869	0.102728034	PSMD4|E2F3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69002
Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	Reactome	R-HSA-9027276	1	12	0.055897705	0.102728034	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9027276
Josephin domain DUBs	Reactome	R-HSA-5689877	1	12	0.055897705	0.102728034	VCP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689877
TP53 Regulates Transcription of Death Receptors and Ligands	Reactome	R-HSA-6803211	1	12	0.055897705	0.102728034	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803211
Caspase-mediated cleavage of cytoskeletal proteins	Reactome	R-HSA-264870	1	12	0.055897705	0.102728034	ADD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-264870
Physiological factors	Reactome	R-HSA-5578768	1	12	0.055897705	0.102728034	KAT2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5578768
TP53 Regulates Transcription of Caspase Activators and Caspases	Reactome	R-HSA-6803207	1	12	0.055897705	0.102728034	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803207
HSF1 activation	Reactome	R-HSA-3371511	1	12	0.055897705	0.102728034	VCP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371511
Tandem pore domain potassium channels	Reactome	R-HSA-1296346	1	12	0.055897705	0.102728034	KCNK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1296346
cholesterol biosynthesis III (via desmosterol)	BioCyc	PWY66-4	1	12	0.055897705	0.102728034	DHCR24	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-4
cholesterol biosynthesis I	BioCyc	PWY66-341	1	12	0.055897705	0.102728034	DHCR24	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-341
"cholesterol biosynthesis II (via 24,25-dihydrolanosterol)"	BioCyc	PWY66-3	1	12	0.055897705	0.102728034	DHCR24	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-3
ErbB signaling pathway	KEGG PATHWAY	hsa04012	2	85	0.056787298	0.103768819	PIK3CA|PIK3R3	http://www.genome.jp/kegg-bin/show_pathway?hsa04012/hsa:5290%09red/hsa:8503%09red
"Transport of bile salts and organic acids, metal ions and amine compounds"	Reactome	R-HSA-425366	2	85	0.056787298	0.103768819	SLC39A1|SLC39A2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-425366
Interferon Signaling	Reactome	R-HSA-913531	3	194	0.057099145	0.104141053	IRF3|IRF7|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-913531
Regulation of mRNA stability by proteins that bind AU-rich elements	Reactome	R-HSA-450531	2	86	0.057944	0.105482177	PSMD4|BRF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450531
Mitotic Prometaphase	Reactome	R-HSA-68877	3	196	0.058498507	0.106290684	MAD2L1|CLASP2|RANBP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68877
Creation of C4 and C2 activators	Reactome	R-HSA-166786	1	13	0.060066562	0.107118702	MBL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-166786
PI-3K cascade:FGFR3	Reactome	R-HSA-5654710	1	13	0.060066562	0.107118702	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5654710
Inhibition of replication initiation of damaged DNA by RB1/E2F1	Reactome	R-HSA-113501	1	13	0.060066562	0.107118702	RB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-113501
Purine salvage	Reactome	R-HSA-74217	1	13	0.060066562	0.107118702	HPRT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-74217
Apoptosis induced DNA fragmentation	Reactome	R-HSA-140342	1	13	0.060066562	0.107118702	HMGB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-140342
PI3K events in ERBB2 signaling	Reactome	R-HSA-1963642	1	13	0.060066562	0.107118702	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1963642
Trafficking and processing of endosomal TLR	Reactome	R-HSA-1679131	1	13	0.060066562	0.107118702	TLR3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1679131
TNFR1-induced proapoptotic signaling	Reactome	R-HSA-5357786	1	13	0.060066562	0.107118702	TNF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357786
IRF3-mediated induction of type I IFN	Reactome	R-HSA-3270619	1	13	0.060066562	0.107118702	IRF3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3270619
Dissolution of Fibrin Clot	Reactome	R-HSA-75205	1	13	0.060066562	0.107118702	SERPINB2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75205
Transcriptional regulation of granulopoiesis	Reactome	R-HSA-9616222	2	89	0.061462803	0.109003093	CBFB|CEBPE	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9616222
RAB GEFs exchange GTP for GDP on RABs	Reactome	R-HSA-8876198	2	89	0.061462803	0.109003093	TRAPPC6A|TRAPPC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8876198
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"	Reactome	R-HSA-6811558	2	89	0.061462803	0.109003093	PIK3CA|PIK3R3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6811558
Interferon gamma signaling	Reactome	R-HSA-877300	2	90	0.06265166	0.110907258	IRF3|IRF7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-877300
Membrane Trafficking	Reactome	R-HSA-199991	6	631	0.064156181	0.111425374	CD55|COPS2|TRAPPC3|TRAPPC6A|TRIP11|SH3GL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-199991
Membrane binding and targetting of GAG proteins	Reactome	R-HSA-174490	1	14	0.064217116	0.111425374	NMT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174490
TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	Reactome	R-HSA-6804116	1	14	0.064217116	0.111425374	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804116
"Synthesis And Processing Of GAG, GAGPOL Polyproteins"	Reactome	R-HSA-174495	1	14	0.064217116	0.111425374	NMT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-174495
Regulation of TP53 Activity through Association with Co-factors	Reactome	R-HSA-6804759	1	14	0.064217116	0.111425374	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804759
Attenuation phase	Reactome	R-HSA-3371568	1	14	0.064217116	0.111425374	CREBBP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371568
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	Reactome	R-HSA-6803205	1	14	0.064217116	0.111425374	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803205
YAP1- and WWTR1 (TAZ)-stimulated gene expression	Reactome	R-HSA-2032785	1	14	0.064217116	0.111425374	KAT2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2032785
Role of LAT2/NTAL/LAB on calcium mobilization	Reactome	R-HSA-2730905	1	14	0.064217116	0.111425374	PIK3CA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2730905
InlB-mediated entry of Listeria monocytogenes into host cell	Reactome	R-HSA-8875360	1	14	0.064217116	0.111425374	SH3GL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8875360
Unfolded Protein Response (UPR)	Reactome	R-HSA-381119	2	92	0.065052704	0.112469936	SRPRB|ADD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381119
